 MAB conc./(mg/mL)     viscosity/cP
 213.19258  36.25511
 213.36124  36.37505
 213.52991  36.49540
 213.69857  36.61618
 213.86724  36.73736
 214.03590  36.85897
 214.20457  36.98100
 214.37323  37.10346
 214.54190  37.22633
 214.71056  37.34964
 214.87923  37.47337
 215.04789  37.59753
 215.21656  37.72212
 215.38522  37.84714
 215.55389  37.97260
 215.72255  38.09849
 215.89122  38.22482
 216.05988  38.35159
 216.22855  38.47879
 216.39721  38.60644
 216.56588  38.73453
 216.73454  38.86307
 216.90321  38.99205
 217.07187  39.12148
 217.24054  39.25136
 217.40920  39.38169
 217.57787  39.51247
 217.74653  39.64371
 217.91520  39.77541
 218.08386  39.90756
 218.25253  40.04017
 218.42119  40.17324
 218.58986  40.30677
 218.75852  40.44077
 218.92719  40.57524
 219.09585  40.71017
 219.26452  40.84557
 219.43318  40.98144
 219.60185  41.11778
 219.77051  41.25460
 219.93918  41.39190
 220.10784  41.52967
 220.27651  41.66792
 220.44517  41.80666
 220.61384  41.94587
 220.78250  42.08557
 220.95117  42.22576
 221.11983  42.36643
 221.28850  42.50760
 221.45716  42.64926
 221.62583  42.79141
 221.79449  42.93405
 221.96316  43.07719
 222.13182  43.22084
 222.30049  43.36498
 222.46915  43.50962
 222.63782  43.65477
 222.80648  43.80042
 222.97515  43.94659
 223.14381  44.09326
 223.31248  44.24044
 223.48114  44.38814
 223.64981  44.53635
 223.81847  44.68508
 223.98714  44.83433
 224.15580  44.98409
 224.32447  45.13439
 224.49313  45.28520
 224.66180  45.43654
 224.83046  45.58841
 224.99913  45.74082
 225.16779  45.89375
 225.33646  46.04722
 225.50512  46.20122
 225.67379  46.35576
 225.84245  46.51084
 226.01112  46.66646
 226.17978  46.82263
 226.34845  46.97934
 226.51711  47.13660
 226.68578  47.29441
 226.85444  47.45277
 227.02311  47.61169
 227.19177  47.77116
 227.36044  47.93119
 227.52910  48.09177
 227.69777  48.25292
 227.86643  48.41464
 228.03510  48.57692
 228.20376  48.73976
 228.37243  48.90318
 228.54109  49.06717
 228.70976  49.23173
 228.87842  49.39687
 229.04709  49.56259
 229.21575  49.72889
 229.38442  49.89576
 229.55308  50.06323
 229.72175  50.23128
 229.89041  50.39992
 230.05908  50.56915
 230.22774  50.73897
 230.39641  50.90939
 230.56507  51.08041
 230.73374  51.25202
 230.90240  51.42424
 231.07107  51.59706
 231.23973  51.77048
 231.40840  51.94452
 231.57706  52.11916
 231.74573  52.29442
 231.91439  52.47029
 232.08306  52.64678
 232.25172  52.82389
 232.42039  53.00162
 232.58905  53.17997
 232.75772  53.35895
 232.92638  53.53856
 233.09505  53.71880
 233.26371  53.89967
 233.43238  54.08118
 233.60104  54.26332
 233.76971  54.44610
 233.93837  54.62953
 234.10704  54.81360
 234.27570  54.99832
 234.44437  55.18368
 234.61303  55.36970
 234.78170  55.55637
 234.95036  55.74370
 235.11903  55.93168
 235.28769  56.12033
 235.45636  56.30964
 235.62502  56.49961
 235.79369  56.69026
 235.96235  56.88157
 236.13102  57.07356
 236.29968  57.26622
 236.46835  57.45956
 236.63701  57.65358
 236.80568  57.84829
 236.97434  58.04368
 237.14301  58.23975
 237.31167  58.43652
 237.48034  58.63398
 237.64900  58.83214
 237.81767  59.03099
 237.98633  59.23054
 238.15500  59.43080
 238.32366  59.63176
 238.49233  59.83343
 238.66099  60.03581
 238.82966  60.23891
 238.99832  60.44272
 239.16699  60.64724
 239.33565  60.85249
 239.50432  61.05847
 239.67298  61.26516
 239.84165  61.47259
 240.01031  61.68075
 240.17898  61.88965
 240.34764  62.09928
 240.51631  62.30965
 240.68497  62.52076
 240.85364  62.73262
 241.02230  62.94522
 241.19097  63.15858
 241.35963  63.37269
 241.52830  63.58755
 241.69696  63.80318
 241.86563  64.01956
 242.03429  64.23671
 242.20296  64.45463
 242.37162  64.67331
 242.54029  64.89277
 242.70895  65.11301
 242.87762  65.33402
 243.04628  65.55581
 243.21495  65.77839
 243.38361  66.00175
 243.55228  66.22590
 243.72094  66.45085
 243.88961  66.67659
 244.05827  66.90313
 244.22694  67.13047
 244.39560  67.35862
 244.56427  67.58757
 244.73293  67.81733
 244.90160  68.04791
 245.07026  68.27930
 245.23893  68.51151
 245.40759  68.74454
 245.57626  68.97840
 245.74492  69.21308
 245.91359  69.44860
 246.08225  69.68495
 246.25092  69.92213
 246.41958  70.16016
 246.58825  70.39903
 246.75691  70.63874
 246.92558  70.87931
 247.09424  71.12073
 247.26291  71.36300
 247.43157  71.60613
 247.60024  71.85013
 247.76890  72.09499
 247.93757  72.34071
 248.10623  72.58731
 248.27490  72.83478
 248.44356  73.08313
 248.61223  73.33236
 248.78089  73.58248
 248.94956  73.83348
 249.11822  74.08537
 249.28689  74.33816
 249.45555  74.59184
 249.62422  74.84643
 249.79288  75.10192
 249.96155  75.35831
 250.13021  75.61562
 250.29888  75.87384
 250.46754  76.13297
 250.63621  76.39303
 250.80487  76.65401
 250.97354  76.91591
 251.14220  77.17875
 251.31087  77.44252
 251.47953  77.70723
 251.64820  77.97288
 251.81686  78.23948
 251.98553  78.50702
 252.15419  78.77551
 252.32286  79.04496
 252.49152  79.31536
 252.66019  79.58673
 252.82885  79.85906
