 MAB conc./(mg/mL)     viscosity/cP
  48.57554   1.96138
  48.74420   1.96643
  48.91287   1.97148
  49.08153   1.97656
  49.25020   1.98165
  49.41886   1.98675
  49.58753   1.99187
  49.75619   1.99701
  49.92486   2.00216
  50.09352   2.00732
  50.26219   2.01251
  50.43085   2.01771
  50.59952   2.02292
  50.76818   2.02815
  50.93685   2.03340
  51.10551   2.03866
  51.27418   2.04394
  51.44284   2.04924
  51.61151   2.05455
  51.78017   2.05988
  51.94884   2.06522
  52.11750   2.07058
  52.28617   2.07596
  52.45483   2.08135
  52.62350   2.08676
  52.79216   2.09219
  52.96083   2.09763
  53.12949   2.10309
  53.29816   2.10857
  53.46682   2.11406
  53.63549   2.11957
  53.80415   2.12510
  53.97282   2.13065
  54.14148   2.13621
  54.31015   2.14179
  54.47881   2.14738
  54.64748   2.15299
  54.81614   2.15862
  54.98481   2.16427
  55.15347   2.16994
  55.32214   2.17562
  55.49080   2.18132
  55.65947   2.18703
  55.82813   2.19277
  55.99680   2.19852
  56.16546   2.20429
  56.33413   2.21008
  56.50279   2.21588
  56.67146   2.22170
  56.84012   2.22755
  57.00879   2.23340
  57.17745   2.23928
  57.34612   2.24518
  57.51478   2.25109
  57.68345   2.25702
  57.85211   2.26297
  58.02078   2.26894
  58.18944   2.27492
  58.35811   2.28093
  58.52677   2.28695
  58.69544   2.29299
  58.86410   2.29905
  59.03277   2.30513
  59.20143   2.31123
  59.37010   2.31734
  59.53876   2.32348
  59.70743   2.32963
  59.87609   2.33580
  60.04476   2.34199
  60.21342   2.34820
  60.38209   2.35443
  60.55075   2.36068
  60.71942   2.36695
  60.88808   2.37324
  61.05675   2.37955
  61.22541   2.38587
  61.39408   2.39222
  61.56274   2.39858
  61.73141   2.40497
  61.90007   2.41137
  62.06874   2.41779
  62.23740   2.42424
  62.40607   2.43070
  62.57473   2.43719
  62.74340   2.44369
  62.91206   2.45021
  63.08073   2.45676
  63.24939   2.46332
  63.41806   2.46990
  63.58672   2.47651
  63.75539   2.48313
  63.92405   2.48978
  64.09272   2.49644
  64.26138   2.50313
  64.43005   2.50984
  64.59871   2.51657
  64.76738   2.52331
  64.93604   2.53008
  65.10471   2.53687
  65.27337   2.54368
  65.44204   2.55052
  65.61070   2.55737
  65.77937   2.56424
  65.94803   2.57114
  66.11670   2.57805
  66.28536   2.58499
  66.45403   2.59195
  66.62269   2.59893
  66.79136   2.60594
  66.96002   2.61296
  67.12869   2.62001
  67.29735   2.62707
  67.46602   2.63416
  67.63468   2.64127
  67.80335   2.64841
  67.97201   2.65556
  68.14068   2.66274
  68.30934   2.66994
  68.47801   2.67716
  68.64667   2.68441
  68.81534   2.69167
  68.98400   2.69896
  69.15267   2.70627
  69.32133   2.71361
  69.49000   2.72096
  69.65866   2.72834
  69.82733   2.73575
  69.99599   2.74317
  70.16466   2.75062
  70.33332   2.75809
  70.50199   2.76559
  70.67065   2.77310
  70.83932   2.78064
  71.00798   2.78821
  71.17665   2.79580
  71.34531   2.80341
  71.51398   2.81104
  71.68264   2.81870
  71.85131   2.82638
  72.01997   2.83409
  72.18864   2.84182
  72.35730   2.84957
  72.52597   2.85735
  72.69463   2.86515
  72.86330   2.87298
  73.03196   2.88083
  73.20063   2.88870
  73.36929   2.89660
  73.53796   2.90453
  73.70662   2.91248
  73.87529   2.92045
  74.04395   2.92845
  74.21262   2.93647
  74.38128   2.94452
  74.54995   2.95259
  74.71861   2.96069
  74.88728   2.96881
  75.05594   2.97696
  75.22461   2.98513
  75.39327   2.99333
  75.56194   3.00155
  75.73060   3.00980
  75.89927   3.01808
  76.06793   3.02638
  76.23660   3.03471
  76.40526   3.04306
  76.57393   3.05144
  76.74259   3.05984
  76.91126   3.06827
  77.07992   3.07673
  77.24859   3.08521
  77.41725   3.09372
  77.58592   3.10226
  77.75458   3.11082
  77.92325   3.11941
  78.09191   3.12803
  78.26058   3.13667
  78.42924   3.14534
  78.59791   3.15404
  78.76657   3.16276
  78.93524   3.17151
  79.10390   3.18029
  79.27257   3.18909
  79.44123   3.19793
  79.60990   3.20679
  79.77856   3.21568
  79.94723   3.22459
  80.11589   3.23354
  80.28456   3.24251
  80.45322   3.25151
  80.62189   3.26054
  80.79055   3.26959
  80.95922   3.27867
  81.12788   3.28779
  81.29655   3.29693
  81.46521   3.30610
  81.63388   3.31530
  81.80254   3.32452
  81.97121   3.33378
  82.13987   3.34306
  82.30854   3.35237
  82.47720   3.36172
  82.64587   3.37109
  82.81453   3.38049
  82.98320   3.38992
  83.15186   3.39938
  83.32053   3.40887
  83.48919   3.41839
  83.65786   3.42794
  83.82652   3.43751
  83.99519   3.44712
  84.16385   3.45676
  84.33252   3.46643
  84.50118   3.47613
  84.66985   3.48586
  84.83851   3.49562
  85.00718   3.50541
  85.17584   3.51523
  85.34451   3.52508
  85.51317   3.53496
  85.68184   3.54487
